Date,Type,NHS Area Code,ONS Code,Name,Total
04-2021,SUB ICB,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,28989
04-2021,SUB ICB,01Y,E38000263,NHS Greater Manchester ICB - 01Y,32876
04-2021,SUB ICB,02A,E38000187,NHS Greater Manchester ICB - 02A,23987
04-2021,SUB ICB,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,24473
04-2021,SUB ICB,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,15990
04-2021,SUB ICB,02H,E38000205,NHS Greater Manchester ICB - 02H,45899
04-2021,SUB ICB,02M,E38000226,NHS Lancashire and South Cumbria ICB - 02M,32409
04-2021,SUB ICB,02P,E38000006,NHS South Yorkshire ICB - 02P,43821
04-2021,SUB ICB,02Q,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,25372
04-2021,SUB ICB,02T,E38000025,NHS West Yorkshire ICB - 02T,25911
04-2021,SUB ICB,02X,E38000044,NHS South Yorkshire ICB - 02X,57191
04-2021,SUB ICB,02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,55227
04-2021,SUB ICB,03F,E38000085,NHS Humber and North Yorkshire ICB - 03F,39357
04-2021,SUB ICB,03H,E38000119,NHS Humber and North Yorkshire ICB - 03H,24227
04-2021,SUB ICB,03K,E38000122,NHS Humber and North Yorkshire ICB - 03K,29668
04-2021,SUB ICB,03L,E38000141,NHS South Yorkshire ICB - 03L,50372
04-2021,SUB ICB,03N,E38000146,NHS South Yorkshire ICB - 03N,74141
04-2021,SUB ICB,03Q,E38000188,NHS Humber and North Yorkshire ICB - 03Q,40304
04-2021,SUB ICB,03R,E38000190,NHS West Yorkshire ICB - 03R,52120
04-2021,SUB ICB,03W,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",60536
04-2021,SUB ICB,04C,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",37989
04-2021,SUB ICB,04V,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",52855
04-2021,SUB ICB,04Y,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,23788
04-2021,SUB ICB,05D,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,20531
04-2021,SUB ICB,05G,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,35764
04-2021,SUB ICB,05Q,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,23893
04-2021,SUB ICB,05V,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,30192
04-2021,SUB ICB,05W,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,30156
04-2021,SUB ICB,06H,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,143918
04-2021,SUB ICB,06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,60473
04-2021,SUB ICB,06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,37436
04-2021,SUB ICB,06N,E38000079,NHS Hertfordshire and West Essex ICB - 06N,91956
04-2021,SUB ICB,06Q,E38000106,NHS Mid and South Essex ICB - 06Q,62556
04-2021,SUB ICB,06T,E38000117,NHS Suffolk and North East Essex ICB - 06T,45533
04-2021,SUB ICB,07G,E38000185,NHS Mid and South Essex ICB - 07G,18614
04-2021,SUB ICB,07H,E38000197,NHS Hertfordshire and West Essex ICB - 07H,37299
04-2021,SUB ICB,07K,E38000204,NHS Suffolk and North East Essex ICB - 07K,95064
04-2021,SUB ICB,09D,E38000021,NHS Sussex ICB - 09D,31839
04-2021,SUB ICB,10Q,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",97789
04-2021,SUB ICB,10R,E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,21278
04-2021,SUB ICB,11J,E38000045,NHS Dorset ICB - 11J,137982
04-2021,SUB ICB,11M,E38000062,NHS Gloucestershire ICB - 11M,98191
04-2021,SUB ICB,11N,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,91627
04-2021,SUB ICB,11X,E38000150,NHS Somerset ICB - 11X,100176
04-2021,SUB ICB,12F,E38000208,NHS Cheshire and Merseyside ICB - 12F,51755
04-2021,SUB ICB,13T,E38000212,NHS North East and North Cumbria ICB - 13T,61471
04-2021,SUB ICB,14L,E38000217,NHS Greater Manchester ICB - 14L,62598
04-2021,SUB ICB,14Y,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",72125
04-2021,SUB ICB,15A,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",56531
04-2021,SUB ICB,15C,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",110118
04-2021,SUB ICB,15E,E38000258,NHS Birmingham and Solihull ICB - 15E,137035
04-2021,SUB ICB,15F,E38000225,NHS West Yorkshire ICB - 15F,89308
04-2021,SUB ICB,15M,E38000261,NHS Derby and Derbyshire ICB - 15M,197596
04-2021,SUB ICB,15N,E38000230,NHS Devon ICB - 15N,178309
04-2021,SUB ICB,16C,E38000247,NHS North East and North Cumbria ICB - 16C,92937
04-2021,SUB ICB,18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,127640
04-2021,SUB ICB,26A,E38000239,NHS Norfolk and Waveney ICB - 26A,180906
04-2021,SUB ICB,27D,E38000233,NHS Cheshire and Merseyside ICB - 27D,108813
04-2021,SUB ICB,36J,E38000232,NHS West Yorkshire ICB - 36J,74073
04-2021,SUB ICB,36L,E38000245,NHS South West London ICB - 36L,166538
04-2021,SUB ICB,42D,E38000241,NHS Humber and North Yorkshire ICB - 42D,78195
04-2021,SUB ICB,52R,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,119968
04-2021,SUB ICB,70F,E38000248,NHS Sussex ICB - 70F,157974
04-2021,SUB ICB,71E,E38000238,NHS Lincolnshire ICB - 71E,123261
04-2021,SUB ICB,72Q,E38000244,NHS South East London ICB - 72Q,186812
04-2021,SUB ICB,78H,E38000262,NHS Northamptonshire ICB - 78H,81007
04-2021,SUB ICB,84H,E38000234,NHS North East and North Cumbria ICB - 84H,74495
04-2021,SUB ICB,91Q,E38000237,NHS Kent and Medway ICB - 91Q,242443
04-2021,SUB ICB,92A,E38000246,NHS Surrey Heartlands ICB - 92A,149501
04-2021,SUB ICB,92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",145957
04-2021,SUB ICB,93C,E38000240,NHS North Central London ICB - 93C,164568
04-2021,SUB ICB,97R,E38000235,NHS Sussex ICB - 97R,82781
04-2021,SUB ICB,99A,E38000101,NHS Cheshire and Merseyside ICB - 99A,64155
04-2021,SUB ICB,99C,E38000127,NHS North East and North Cumbria ICB - 99C,36123
04-2021,SUB ICB,99E,E38000007,NHS Mid and South Essex ICB - 99E,29488
04-2021,SUB ICB,99F,E38000030,NHS Mid and South Essex ICB - 99F,30868
04-2021,SUB ICB,99G,E38000168,NHS Mid and South Essex ICB - 99G,28263
04-2021,SUB ICB,A3A8R,E38000255,NHS North East London ICB - A3A8R,166326
04-2021,SUB ICB,B2M3M,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,140949
04-2021,SUB ICB,D2P2L,E38000259,NHS Black Country ICB - D2P2L,124788
04-2021,SUB ICB,D4U1Y,E38000252,NHS Frimley ICB - D4U1Y,111228
04-2021,SUB ICB,D9Y0V,E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,223134
04-2021,SUB ICB,M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",92799
04-2021,SUB ICB,M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",54794
04-2021,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,228447
04-2021,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,225525
04-2021,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,127640
04-2021,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,169789
04-2021,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",92799
04-2021,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,137035
04-2021,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,445782
04-2021,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,197596
04-2021,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,178033
04-2021,ICB,QJK,E54000037,NHS Devon Integrated Care Board,178309
04-2021,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,123261
04-2021,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",151380
04-2021,ICB,QKK,E54000030,NHS South East London Integrated Care Board,186812
04-2021,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,242443
04-2021,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,189728
04-2021,ICB,QMF,E54000029,NHS North East London Integrated Care Board,166326
04-2021,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,164568
04-2021,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,180906
04-2021,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,164324
04-2021,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,111228
04-2021,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,272594
04-2021,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",54794
04-2021,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,395508
04-2021,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,266978
04-2021,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",145957
04-2021,ICB,QPM,E54000059,NHS Northamptonshire Integrated Care Board,81007
04-2021,ICB,QR1,E54000043,NHS Gloucestershire Integrated Care Board,98191
04-2021,ICB,QRL,E54000042,NHS Hampshire and the Isle of Wight Integrated Care Board,244412
04-2021,ICB,QRV,E54000027,NHS North West London Integrated Care Board,243467
04-2021,ICB,QSL,E54000038,NHS Somerset Integrated Care Board,100176
04-2021,ICB,QT1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,145340
04-2021,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,91627
04-2021,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",226445
04-2021,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,124788
04-2021,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,143918
04-2021,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",110118
04-2021,ICB,QVV,E54000041,NHS Dorset Integrated Care Board,137982
04-2021,ICB,QWE,E54000031,NHS South West London Integrated Care Board,166538
04-2021,ICB,QWO,E54000054,NHS West Yorkshire Integrated Care Board,299325
04-2021,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,140949
04-2021,ICB,QXU,E54000052,NHS Surrey Heartlands Integrated Care Board,149501
04-2021,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,351250
04-2021,SUB ICB,W2U3Z,E38000256,NHS North West London ICB - W2U3Z,243467
04-2021,SUB ICB,X2C4Y,E38000254,NHS West Yorkshire ICB - X2C4Y,57913
05-2021,National,ENG,ENG,England,8053948
05-2021,Region,Y56,E40000003,London,996990
05-2021,Region,Y58,E40000006,South West,905468
05-2021,Region,Y59,E40000005,South East,1373142
05-2021,Region,Y60,E40000011,Midlands,1605050
05-2021,Region,Y61,E40000007,East of England,885599
05-2021,Region,Y62,E40000010,North West,988412
05-2021,Region,Y63,E40000012,North East and Yorkshire,1299287
05-2021,SUB ICB,00L,E38000130,NHS North East and North Cumbria ICB - 00L,65668
05-2021,SUB ICB,00N,E38000163,NHS North East and North Cumbria ICB - 00N,34228
05-2021,SUB ICB,00P,E38000176,NHS North East and North Cumbria ICB - 00P,44513
05-2021,SUB ICB,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,9779
05-2021,SUB ICB,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,16908
05-2021,SUB ICB,00T,E38000016,NHS Greater Manchester ICB - 00T,76060
05-2021,SUB ICB,00V,E38000024,NHS Greater Manchester ICB - 00V,28868
05-2021,SUB ICB,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,34714
05-2021,SUB ICB,00Y,E38000135,NHS Greater Manchester ICB - 00Y,21504
05-2021,SUB ICB,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,36268
05-2021,SUB ICB,01D,E38000080,NHS Greater Manchester ICB - 01D,39782
05-2021,SUB ICB,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,25646
05-2021,SUB ICB,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,14934
05-2021,SUB ICB,01G,E38000143,NHS Greater Manchester ICB - 01G,44816
05-2021,SUB ICB,01H,E38000215,NHS North East and North Cumbria ICB - 01H,54322
05-2021,SUB ICB,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,18486
05-2021,SUB ICB,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,54741
05-2021,SUB ICB,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,17975
05-2021,SUB ICB,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,12415
05-2021,SUB ICB,01W,E38000174,NHS Greater Manchester ICB - 01W,40174
05-2021,SUB ICB,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,22752
05-2021,SUB ICB,01Y,E38000263,NHS Greater Manchester ICB - 01Y,34856
05-2021,SUB ICB,02A,E38000187,NHS Greater Manchester ICB - 02A,32276
05-2021,SUB ICB,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,23184
05-2021,SUB ICB,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,17768
05-2021,SUB ICB,02H,E38000205,NHS Greater Manchester ICB - 02H,50042
05-2021,SUB ICB,02M,E38000226,NHS Lancashire and South Cumbria ICB - 02M,23268
05-2021,SUB ICB,02P,E38000006,NHS South Yorkshire ICB - 02P,34397
05-2021,SUB ICB,02Q,E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,20158
05-2021,SUB ICB,02T,E38000025,NHS West Yorkshire ICB - 02T,34710
05-2021,SUB ICB,02X,E38000044,NHS South Yorkshire ICB - 02X,57101
05-2021,SUB ICB,02Y,E38000052,NHS Humber and North Yorkshire ICB - 02Y,52079
05-2021,SUB ICB,03F,E38000085,NHS Humber and North Yorkshire ICB - 03F,42429
05-2021,SUB ICB,03H,E38000119,NHS Humber and North Yorkshire ICB - 03H,28195
05-2021,SUB ICB,03K,E38000122,NHS Humber and North Yorkshire ICB - 03K,26635
05-2021,SUB ICB,03L,E38000141,NHS South Yorkshire ICB - 03L,42699
05-2021,SUB ICB,03N,E38000146,NHS South Yorkshire ICB - 03N,88790
05-2021,SUB ICB,03Q,E38000188,NHS Humber and North Yorkshire ICB - 03Q,50683
05-2021,SUB ICB,03R,E38000190,NHS West Yorkshire ICB - 03R,50949
05-2021,SUB ICB,03W,E38000051,"NHS Leicester, Leicestershire and Rutland ICB - 03W",51329
05-2021,SUB ICB,04C,E38000097,"NHS Leicester, Leicestershire and Rutland ICB - 04C",46001
05-2021,SUB ICB,04V,E38000201,"NHS Leicester, Leicestershire and Rutland ICB - 04V",52899
05-2021,SUB ICB,04Y,E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,23522
05-2021,SUB ICB,05D,E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,19703
05-2021,SUB ICB,05G,E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,36952
05-2021,SUB ICB,05Q,E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,23324
05-2021,SUB ICB,05V,E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,24598
05-2021,SUB ICB,05W,E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,40032
05-2021,SUB ICB,06H,E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,113492
05-2021,SUB ICB,06K,E38000049,NHS Hertfordshire and West Essex ICB - 06K,64597
05-2021,SUB ICB,06L,E38000086,NHS Suffolk and North East Essex ICB - 06L,39507
05-2021,SUB ICB,06N,E38000079,NHS Hertfordshire and West Essex ICB - 06N,84538
05-2021,SUB ICB,06Q,E38000106,NHS Mid and South Essex ICB - 06Q,53394
05-2021,SUB ICB,06T,E38000117,NHS Suffolk and North East Essex ICB - 06T,43926
05-2021,SUB ICB,07G,E38000185,NHS Mid and South Essex ICB - 07G,19419
05-2021,SUB ICB,07H,E38000197,NHS Hertfordshire and West Essex ICB - 07H,43509
05-2021,SUB ICB,07K,E38000204,NHS Suffolk and North East Essex ICB - 07K,74984
05-2021,SUB ICB,09D,E38000021,NHS Sussex ICB - 09D,35617
05-2021,SUB ICB,10Q,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",125263
05-2021,SUB ICB,10R,E38000137,NHS Hampshire and Isle Of Wight ICB - 10R,22340
05-2021,SUB ICB,11J,E38000045,NHS Dorset ICB - 11J,137589
05-2021,SUB ICB,11M,E38000062,NHS Gloucestershire ICB - 11M,138660
05-2021,SUB ICB,11N,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,66971
05-2021,SUB ICB,11X,E38000150,NHS Somerset ICB - 11X,84094
05-2021,SUB ICB,12F,E38000208,NHS Cheshire and Merseyside ICB - 12F,60394
05-2021,SUB ICB,13T,E38000212,NHS North East and North Cumbria ICB - 13T,56712
05-2021,SUB ICB,14L,E38000217,NHS Greater Manchester ICB - 14L,75396
05-2021,SUB ICB,14Y,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",69128
05-2021,SUB ICB,15A,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",73375
05-2021,SUB ICB,15C,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",148898
05-2021,SUB ICB,15E,E38000258,NHS Birmingham and Solihull ICB - 15E,181266
05-2021,SUB ICB,15F,E38000225,NHS West Yorkshire ICB - 15F,101828
05-2021,SUB ICB,15M,E38000261,NHS Derby and Derbyshire ICB - 15M,175604
05-2021,SUB ICB,15N,E38000230,NHS Devon ICB - 15N,189047
05-2021,SUB ICB,16C,E38000247,NHS North East and North Cumbria ICB - 16C,105937
05-2021,SUB ICB,18C,E38000236,NHS Herefordshire and Worcestershire ICB - 18C,126874
05-2021,SUB ICB,26A,E38000239,NHS Norfolk and Waveney ICB - 26A,161959
05-2021,SUB ICB,27D,E38000233,NHS Cheshire and Merseyside ICB - 27D,78944
05-2021,SUB ICB,36J,E38000232,NHS West Yorkshire ICB - 36J,74124
05-2021,SUB ICB,36L,E38000245,NHS South West London ICB - 36L,179961
05-2021,SUB ICB,42D,E38000241,NHS Humber and North Yorkshire ICB - 42D,73570
05-2021,SUB ICB,52R,E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,177122
05-2021,SUB ICB,70F,E38000248,NHS Sussex ICB - 70F,164688
05-2021,SUB ICB,71E,E38000238,NHS Lincolnshire ICB - 71E,126257
05-2021,SUB ICB,72Q,E38000244,NHS South East London ICB - 72Q,216842
05-2021,SUB ICB,78H,E38000262,NHS Northamptonshire ICB - 78H,110314
05-2021,SUB ICB,84H,E38000234,NHS North East and North Cumbria ICB - 84H,101255
05-2021,SUB ICB,91Q,E38000237,NHS Kent and Medway ICB - 91Q,233327
05-2021,SUB ICB,92A,E38000246,NHS Surrey Heartlands ICB - 92A,172462
05-2021,SUB ICB,92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",140209
05-2021,SUB ICB,93C,E38000240,NHS North Central London ICB - 93C,157033
05-2021,SUB ICB,97R,E38000235,NHS Sussex ICB - 97R,78407
05-2021,SUB ICB,99A,E38000101,NHS Cheshire and Merseyside ICB - 99A,76462
05-2021,SUB ICB,99C,E38000127,NHS North East and North Cumbria ICB - 99C,26665
05-2021,SUB ICB,99E,E38000007,NHS Mid and South Essex ICB - 99E,45347
05-2021,SUB ICB,99F,E38000030,NHS Mid and South Essex ICB - 99F,28595
05-2021,SUB ICB,99G,E38000168,NHS Mid and South Essex ICB - 99G,20168
05-2021,SUB ICB,A3A8R,E38000255,NHS North East London ICB - A3A8R,204441
05-2021,SUB ICB,B2M3M,E38000251,NHS Coventry and Warwickshire ICB - B2M3M,158649
05-2021,SUB ICB,D2P2L,E38000259,NHS Black Country ICB - D2P2L,156090
05-2021,SUB ICB,D4U1Y,E38000252,NHS Frimley ICB - D4U1Y,144323
05-2021,SUB ICB,D9Y0V,E38000253,NHS Hampshire and Isle Of Wight ICB - D9Y0V,254212
05-2021,SUB ICB,M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",92164
05-2021,SUB ICB,M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M",54356
05-2021,ICB,QE1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,219092
05-2021,ICB,QF7,E54000061,NHS South Yorkshire Integrated Care Board,222987
05-2021,ICB,QGH,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,126874
05-2021,ICB,QH8,E54000026,NHS Mid and South Essex Integrated Care Board,166923
05-2021,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",92164
05-2021,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,181266
05-2021,ICB,QHM,E54000050,NHS North East and North Cumbria Integrated Care Board,489300
05-2021,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,175604
05-2021,ICB,QJG,E54000023,NHS Suffolk and North East Essex Integrated Care Board,158417
05-2021,ICB,QJK,E54000037,NHS Devon Integrated Care Board,189047
05-2021,ICB,QJM,E54000013,NHS Lincolnshire Integrated Care Board,126257
05-2021,ICB,QK1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",150229
05-2021,ICB,QKK,E54000030,NHS South East London Integrated Care Board,216842
05-2021,ICB,QKS,E54000032,NHS Kent and Medway Integrated Care Board,233327
05-2021,ICB,QM7,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,192644
05-2021,ICB,QMF,E54000029,NHS North East London Integrated Care Board,204441
05-2021,ICB,QMJ,E54000028,NHS North Central London Integrated Care Board,157033
05-2021,ICB,QMM,E54000022,NHS Norfolk and Waveney Integrated Care Board,161959
05-2021,ICB,QNC,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,168131
05-2021,ICB,QNQ,E54000034,NHS Frimley Integrated Care Board,144323
05-2021,ICB,QNX,E54000053,NHS Sussex Integrated Care Board,278712
05-2021,ICB,QOC,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",54356
05-2021,ICB,QOP,E54000057,NHS Greater Manchester Integrated Care Board,443774
05-2021,ICB,QOQ,E54000051,NHS Humber and North Yorkshire Integrated Care Board,273591
05-2021,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",140209
05-2021,ICB,QPM,E54000059,NHS Northamptonshire Integrated Care Board,110314
05-2021,ICB,QR1,E54000043,NHS Gloucestershire Integrated Care Board,138660
05-2021,ICB,QRL,E54000042,NHS Hampshire and the Isle of Wight Integrated Care Board,276552
05-2021,ICB,QRV,E54000027,NHS North West London Integrated Care Board,238713
05-2021,ICB,QSL,E54000038,NHS Somerset Integrated Care Board,84094
05-2021,ICB,QT1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,197280
05-2021,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,66971
05-2021,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",267766
05-2021,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,156090
05-2021,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,113492
05-2021,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",148898
05-2021,ICB,QVV,E54000041,NHS Dorset Integrated Care Board,137589
05-2021,ICB,QWE,E54000031,NHS South West London Integrated Care Board,179961
05-2021,ICB,QWO,E54000054,NHS West Yorkshire Integrated Care Board,313409
05-2021,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,158649
05-2021,ICB,QXU,E54000052,NHS Surrey Heartlands Integrated Care Board,172462
05-2021,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,325546
05-2021,SUB ICB,W2U3Z,E38000256,NHS North West London ICB - W2U3Z,238713
05-2021,SUB ICB,X2C4Y,E38000254,NHS West Yorkshire ICB - X2C4Y,51798
06-2021,National,ENG,ENG,England,4253773
06-2021,Region,Y56,E40000003,London,633499
06-2021,Region,Y58,E40000006,South West,453451
06-2021,Region,Y59,E40000005,South East,779071
06-2021,Region,Y60,E40000011,Midlands,823414
06-2021,Region,Y61,E40000007,East of England,376711
06-2021,Region,Y62,E40000010,North West,445165
06-2021,Region,Y63,E40000012,North East and Yorkshire,742462
06-2021,SUB ICB,00L,E38000130,NHS North East and North Cumbria ICB - 00L,36553
06-2021,SUB ICB,00N,E38000163,NHS North East and North Cumbria ICB - 00N,11410
06-2021,SUB ICB,00P,E38000176,NHS North East and North Cumbria ICB - 00P,27865
06-2021,SUB ICB,00Q,E38000014,NHS Lancashire and South Cumbria ICB - 00Q,4109
06-2021,SUB ICB,00R,E38000015,NHS Lancashire and South Cumbria ICB - 00R,5492
06-2021,SUB ICB,00T,E38000016,NHS Greater Manchester ICB - 00T,38738
06-2021,SUB ICB,00V,E38000024,NHS Greater Manchester ICB - 00V,20952
06-2021,SUB ICB,00X,E38000034,NHS Lancashire and South Cumbria ICB - 00X,14074
06-2021,SUB ICB,00Y,E38000135,NHS Greater Manchester ICB - 00Y,13154
06-2021,SUB ICB,01A,E38000050,NHS Lancashire and South Cumbria ICB - 01A,11416
06-2021,SUB ICB,01D,E38000080,NHS Greater Manchester ICB - 01D,20561
06-2021,SUB ICB,01E,E38000227,NHS Lancashire and South Cumbria ICB - 01E,20695
06-2021,SUB ICB,01F,E38000068,NHS Cheshire and Merseyside ICB - 01F,9316
06-2021,SUB ICB,01G,E38000143,NHS Greater Manchester ICB - 01G,18880
06-2021,SUB ICB,01H,E38000215,NHS North East and North Cumbria ICB - 01H,23540
06-2021,SUB ICB,01J,E38000091,NHS Cheshire and Merseyside ICB - 01J,3015
06-2021,SUB ICB,01K,E38000228,NHS Lancashire and South Cumbria ICB - 01K,23777
06-2021,SUB ICB,01T,E38000161,NHS Cheshire and Merseyside ICB - 01T,5999
06-2021,SUB ICB,01V,E38000170,NHS Cheshire and Merseyside ICB - 01V,1008
06-2021,SUB ICB,01W,E38000174,NHS Greater Manchester ICB - 01W,9316
06-2021,SUB ICB,01X,E38000172,NHS Cheshire and Merseyside ICB - 01X,591
06-2021,SUB ICB,01Y,E38000263,NHS Greater Manchester ICB - 01Y,18143
06-2021,SUB ICB,02A,E38000187,NHS Greater Manchester ICB - 02A,9874
06-2021,SUB ICB,02E,E38000194,NHS Cheshire and Merseyside ICB - 02E,9336
06-2021,SUB ICB,02G,E38000200,NHS Lancashire and South Cumbria ICB - 02G,8335
06-2021,SUB ICB,02H,E38000205,NHS Greater Manchester ICB - 02H,20915
06-2021,SUB ICB,02M,E38000226,NHS Lancashire and South Cumbria ICB - 02M,7824
06-2021,SUB ICB,02P,E38000006,NHS South Yorkshire ICB - 02P,37844
